,customer_id,product_id,purchase_date,page_views,time_spent,category,price,ratings,total_page_views,average_time_spent,total_purchases,recency_of_purchase,average_rating_purchased,average_price_purchased,purchase_month
0,1,101,2023-01-01,25,120,Electronics,500,4.5,500,120.0,9,360,4.04,471.7,1
1,1,105,2023-01-05,25,120,Electronics,800,4.8,500,120.0,9,356,4.04,471.7,1
2,2,102,2023-01-02,20,90,Clothing,50,3.8,160,90.0,5,359,3.9375,404.625,1
3,3,103,2023-01-03,30,150,Home & Kitchen,200,4.2,240,150.0,5,358,3.7125,496.25,1
4,4,104,2023-01-04,15,80,Beauty,30,4.0,240,80.0,6,357,4.04375,282.125,1
5,5,101,2023-01-05,22,110,Electronics,500,4.5,242,110.0,6,356,4.109090909090909,559.7272727272727,1
6,45,105,2023-11-25 00:00:00,15,133,Electronics,800,4.8,105,133.0,5,32,4.228571428571429,415.57142857142856,11
7,48,103,2023-07-20 00:00:00,23,142,Home & Kitchen,200,4.2,184,142.0,8,160,3.775,381.625,7
8,65,108,2023-08-18 00:00:00,22,90,Sports,727,3.6,154,90.0,4,131,3.5714285714285716,554.8571428571429,8
9,68,106,2023-01-19 00:00:00,26,109,Automotive,855,4.2,416,109.0,9,342,3.975,538.4375,1
10,68,103,2023-01-03 00:00:00,26,109,Home & Kitchen,200,4.2,416,109.0,9,358,3.975,538.4375,1
11,10,109,2023-07-17 00:00:00,18,147,Music,379,3.1,180,147.0,6,163,3.9799999999999995,519.7,7
12,84,106,2023-08-10 00:00:00,24,136,Automotive,855,4.2,336,136.0,8,139,4.128571428571428,385.85714285714283,8
13,22,107,2023-08-18 00:00:00,23,130,Books,783,3.8,184,130.0,5,131,3.9,237.5,8
14,37,107,2023-04-11 00:00:00,19,86,Books,783,3.8,266,86.0,8,260,4.071428571428571,504.85714285714283,4
15,88,105,2023-12-29 00:00:00,23,97,Electronics,800,4.8,322,97.0,8,-2,3.8214285714285716,472.64285714285717,12
16,71,102,2023-06-07 00:00:00,27,85,Clothing,50,3.8,270,85.0,6,203,4.39,644.3,6
17,89,106,2023-06-05 00:00:00,16,137,Automotive,855,4.2,176,137.0,7,205,4.245454545454546,635.8181818181819,6
18,89,105,2023-05-26 00:00:00,16,137,Electronics,800,4.8,176,137.0,7,215,4.245454545454546,635.8181818181819,5
19,13,106,2023-11-02 00:00:00,22,134,Automotive,855,4.2,264,134.0,7,55,4.083333333333333,430.1666666666667,11
20,59,106,2023-11-25 00:00:00,24,95,Automotive,855,4.2,312,95.0,8,32,3.9538461538461536,431.38461538461536,11
21,66,107,2023-12-11 00:00:00,18,92,Books,783,3.8,198,92.0,7,16,4.209090909090909,472.8181818181818,12
22,40,104,2023-01-04 00:00:00,18,131,Beauty,30,4.0,216,131.0,7,357,4.166666666666667,462.8333333333333,1
23,88,109,2023-04-23 00:00:00,23,97,Music,379,3.1,322,97.0,8,248,3.8214285714285716,472.64285714285717,4
24,47,102,2023-01-12 00:00:00,18,123,Clothing,50,3.8,234,123.0,8,349,3.8307692307692305,379.61538461538464,1
25,89,105,2023-11-10 00:00:00,16,137,Electronics,800,4.8,176,137.0,7,47,4.245454545454546,635.8181818181819,11
26,82,103,2023-05-24 00:00:00,30,147,Home & Kitchen,200,4.2,360,147.0,7,217,4.133333333333334,501.75,5
27,38,110,2023-05-12 00:00:00,18,118,Toys,29,3.5,180,118.0,6,229,3.62,290.8,5
28,26,108,2023-06-07 00:00:00,21,146,Sports,727,3.6,189,146.0,8,203,3.933333333333333,363.3333333333333,6
29,78,105,2023-03-09 00:00:00,21,109,Electronics,800,4.8,126,109.0,4,293,4.383333333333334,502.5,3
30,73,102,2023-02-26 00:00:00,15,85,Clothing,50,3.8,165,85.0,8,304,3.872727272727273,436.3636363636364,2
31,10,109,2023-07-23 00:00:00,18,147,Music,379,3.1,180,147.0,6,157,3.9799999999999995,519.7,7
32,21,103,2023-03-21 00:00:00,23,114,Home & Kitchen,200,4.2,345,114.0,8,281,4.073333333333333,369.46666666666664,3
33,81,104,2023-10-29 00:00:00,16,141,Beauty,30,4.0,240,141.0,9,59,3.966666666666667,396.1333333333333,10
34,70,104,2023-04-01 00:00:00,22,99,Beauty,30,4.0,330,99.0,8,270,3.9466666666666668,341.06666666666666,4
35,80,105,2023-03-21 00:00:00,19,83,Electronics,800,4.8,285,83.0,7,281,4.133333333333334,347.4,3
36,48,102,2023-08-14 00:00:00,23,142,Clothing,50,3.8,184,142.0,8,135,3.775,381.625,8
37,65,107,2023-01-12 00:00:00,22,90,Books,783,3.8,154,90.0,4,349,3.5714285714285716,554.8571428571429,1
38,83,103,2023-05-14 00:00:00,19,96,Home & Kitchen,200,4.2,171,96.0,6,227,3.9555555555555557,471.55555555555554,5
39,100,106,2023-07-06 00:00:00,26,107,Automotive,855,4.2,286,107.0,6,174,3.9545454545454546,391.09090909090907,7
